opcode_int,opcode_hex,name,signature,memarg,extra_imm
74,4a,f64x2.gt,[v128~v128] \to [v128],0,0
75,4b,f64x2.le,[v128~v128] \to [v128],0,0
76,4c,f64x2.ge,[v128~v128] \to [v128],0,0
77,4d,v128.not,[v128] \to [v128],0,0
78,4e,v128.and,[v128~v128] \to [v128],0,0
79,4f,v128.andnot,[v128~v128] \to [v128],0,0
80,50,v128.or,[v128~v128] \to [v128],0,0
81,51,v128.xor,[v128~v128] \to [v128],0,0
82,52,v128.bitselect,[v128~v128~v128] \to [v128],0,0
83,53,v128.any_true,[v128] \to [i32],0,0
84,54,v128.load8_lane,[i32~v128] \to [v128],1,1
85,55,v128.load16_lane,[i32~v128] \to [v128],1,1
86,56,v128.load32_lane,[i32~v128] \to [v128],1,1
87,57,v128.load64_lane,[i32~v128] \to [v128],1,1
88,58,v128.store8_lane,[i32~v128] \to [v128],1,1
89,59,v128.store16_lane,[i32~v128] \to [v128],1,1
90,5a,v128.store32_lane,[i32~v128] \to [v128],1,1
91,5b,v128.store64_lane,[i32~v128] \to [v128],1,1
92,5c,v128.load32_zero,[i32] \to [v128],1,1
93,5d,v128.load64_zero,[i32] \to [v128],1,1
94,5e,f32x4.demote_f64x2_zero,[v128] \to [v128],0,0
95,5f,f64x2.promote_low_f32x4,[v128] \to [v128],0,0
96,60,i8x16.abs,[v128] \to [v128],0,0
97,61,i8x16.neg,[v128] \to [v128],0,0
98,62,i8x16.popcnt,[v128] \to [v128],0,0
99,63,i8x16.all_true,[v128] \to [i32],0,0
100,64,i8x16.bitmask,[v128] \to [i32],0,0
101,65,i8x16.narrow_i16x8_s,[v128~v128] \to [v128],0,0
102,66,i8x16.narrow_i16x8_u,[v128~v128] \to [v128],0,0
103,67,f32x4.ceil,[v128] \to [v128],0,0
104,68,f32x4.floor,[v128] \to [v128],0,0
105,69,f32x4.trunc,[v128] \to [v128],0,0
106,6a,f32x4.nearest,[v128] \to [v128],0,0
107,6b,i8x16.shl,[v128~i32] \to [v128],0,0
108,6c,i8x16.shr_s,[v128~i32] \to [v128],0,0
109,6d,i8x16.shr_u,[v128~i32] \to [v128],0,0
110,6e,i8x16.add,[v128~v128] \to [v128],0,0
111,6f,i8x16.add_sat_s,[v128~v128] \to [v128],0,0
112,70,i8x16.add_sat_u,[v128~v128] \to [v128],0,0
113,71,i8x16.sub,[v128~v128] \to [v128],0,0
114,72,i8x16.sub_sat_s,[v128~v128] \to [v128],0,0
115,73,i8x16.sub_sat_u,[v128~v128] \to [v128],0,0
116,74,f64x2.ceil,[v128] \to [v128],0,0
117,75,f64x2.floor,[v128] \to [v128],0,0
118,76,i8x16.min_s,[v128~v128] \to [v128],0,0
119,77,i8x16.min_u,[v128~v128] \to [v128],0,0
120,78,i8x16.max_s,[v128~v128] \to [v128],0,0
121,79,i8x16.max_u,[v128~v128] \to [v128],0,0
122,7a,f64x2.trunc,[v128] \to [v128],0,0
123,7b,i8x16.avgr_u,[v128~v128] \to [v128],0,0
124,7c,i16x8.extadd_pairwise_i8x16_s,[v128] \to [v128],0,0
125,7d,i16x8.extadd_pairwise_i8x16_u,[v128] \to [v128],0,0
126,7e,i32x4.extadd_pairwise_i16x8_s,[v128] \to [v128],0,0
127,7f,i32x4.extadd_pairwise_i16x8_u,[v128] \to [v128],0,0
128,80,i16x8.abs,[v128] \to [v128],0,0
129,81,i16x8.neg,[v128] \to [v128],0,0
130,82,i16x8.q15mulr_sat_s,[v128~v128] \to [v128],0,0
131,83,i16x8.all_true,[v128] \to [i32],0,0
132,84,i16x8.bitmask,[v128] \to [i32],0,0
133,85,i16x8.narrow_i32x4_s,[v128~v128] \to [v128],0,0
134,86,i16x8.narrow_i32x4_u,[v128~v128] \to [v128],0,0
135,87,i16x8.extend_low_i8x16_s,[v128] \to [v128],0,0
136,88,i16x8.extend_high_i8x16_s,[v128] \to [v128],0,0
137,89,i16x8.extend_low_i8x16_u,[v128] \to [v128],0,0
138,8a,i16x8.extend_high_i8x16_u,[v128] \to [v128],0,0
139,8b,i16x8.shl,[v128~i32] \to [v128],0,0
140,8c,i16x8.shr_s,[v128~i32] \to [v128],0,0
141,8d,i16x8.shr_u,[v128~i32] \to [v128],0,0
142,8e,i16x8.add,[v128~v128] \to [v128],0,0
143,8f,i16x8.add_sat_s,[v128~v128] \to [v128],0,0
144,90,i16x8.add_sat_u,[v128~v128] \to [v128],0,0
145,91,i16x8.sub,[v128~v128] \to [v128],0,0
146,92,i16x8.sub_sat_s,[v128~v128] \to [v128],0,0
147,93,i16x8.sub_sat_u,[v128~v128] \to [v128],0,0
148,94,f64x2.nearest,[v128] \to [v128],0,0
149,95,i16x8.mul,[v128~v128] \to [v128],0,0
150,96,i16x8.min_s,[v128~v128] \to [v128],0,0
151,97,i16x8.min_u,[v128~v128] \to [v128],0,0
152,98,i16x8.max_s,[v128~v128] \to [v128],0,0
153,99,i16x8.max_u,[v128~v128] \to [v128],0,0
154,9a,undefined,undefined,undefined,undefined
155,9b,i16x8.avgr_u,[v128~v128] \to [v128],0,0
156,9c,i16x8.extmul_low_i8x16_s,[v128~v128] \to [v128],0,0
157,9d,i16x8.extmul_high_i8x16_s,[v128~v128] \to [v128],0,0
158,9e,i16x8.extmul_low_i8x16_u,[v128~v128] \to [v128],0,0
159,9f,i16x8.extmul_high_i8x16_u,[v128~v128] \to [v128],0,0
160,a0,i32x4.abs,[v128] \to [v128],0,0
161,a1,i32x4.neg,[v128] \to [v128],0,0
162,a2,undefined,undefined,undefined,undefined
163,a3,i32x4.all_true,[v128] \to [i32],0,0
164,a4,i32x4.bitmask,[v128] \to [i32],0,0
165,a5,undefined,undefined,undefined,undefined
166,a6,undefined,undefined,undefined,undefined
167,a7,i32x4.extend_low_i16x8_s,[v128] \to [v128],0,0
168,a8,i32x4.extend_high_i16x8_s,[v128] \to [v128],0,0
169,a9,i32x4.extend_low_i16x8_u,[v128] \to [v128],0,0
170,aa,i32x4.extend_high_i16x8_u,[v128] \to [v128],0,0
171,ab,i32x4.shl,[v128~i32] \to [v128],0,0
172,ac,i32x4.shr_s,[v128~i32] \to [v128],0,0
173,ad,i32x4.shr_u,[v128~i32] \to [v128],0,0
174,ae,i32x4.add,[v128~v128] \to [v128],0,0
175,af,undefined,undefined,undefined,undefined
176,b0,undefined,undefined,undefined,undefined
177,b1,i32x4.sub,[v128~v128] \to [v128],0,0
178,b2,undefined,undefined,undefined,undefined
179,b3,undefined,undefined,undefined,undefined
180,b4,undefined,undefined,undefined,undefined
181,b5,i32x4.mul,[v128~v128] \to [v128],0,0
182,b6,i32x4.min_s,[v128~v128] \to [v128],0,0
183,b7,i32x4.min_u,[v128~v128] \to [v128],0,0
184,b8,i32x4.max_s,[v128~v128] \to [v128],0,0
185,b9,i32x4.max_u,[v128~v128] \to [v128],0,0
186,ba,i32x4.dot_i16x8_s,[v128~v128] \to [v128],0,0
187,bb,undefined,undefined,undefined,undefined
188,bc,i32x4.extmul_low_i16x8_s,[v128~v128] \to [v128],0,0
189,bd,i32x4.extmul_high_i16x8_s,[v128~v128] \to [v128],0,0
190,be,i32x4.extmul_low_i16x8_u,[v128~v128] \to [v128],0,0
191,bf,i32x4.extmul_high_i16x8_u,[v128~v128] \to [v128],0,0
192,c0,i64x2.abs,[v128] \to [v128],0,0
193,c1,i64x2.neg,[v128] \to [v128],0,0
194,c2,undefined,undefined,undefined,undefined
195,c3,i64x2.all_true,[v128] \to [i32],0,0
196,c4,i64x2.bitmask,[v128] \to [i32],0,0
197,c5,undefined,undefined,undefined,undefined
198,c6,undefined,undefined,undefined,undefined
199,c7,i64x2.extend_low_i32x4_s,[v128] \to [v128],0,0
200,c8,i64x2.extend_high_i32x4_s,[v128] \to [v128],0,0
201,c9,i64x2.extend_low_i32x4_u,[v128] \to [v128],0,0
202,ca,i64x2.extend_high_i32x4_u,[v128] \to [v128],0,0
203,cb,i64x2.shl,[v128~i32] \to [v128],0,0
204,cc,i64x2.shr_s,[v128~i32] \to [v128],0,0
205,cd,i64x2.shr_u,[v128~i32] \to [v128],0,0
206,ce,i64x2.add,[v128~v128] \to [v128],0,0
207,cf,undefined,undefined,undefined,undefined
208,d0,undefined,undefined,undefined,undefined
209,d1,i64x2.sub,[v128~v128] \to [v128],0,0
210,d2,undefined,undefined,undefined,undefined
211,d3,undefined,undefined,undefined,undefined
212,d4,undefined,undefined,undefined,undefined
213,d5,i64x2.mul,[v128~v128] \to [v128],0,0
214,d6,i64x2.eq,[v128~v128] \to [v128],0,0
215,d7,i64x2.ne,[v128~v128] \to [v128],0,0
216,d8,i64x2.lt_s,[v128~v128] \to [v128],0,0
217,d9,i64x2.gt_s,[v128~v128] \to [v128],0,0
218,da,i64x2.le_s,[v128~v128] \to [v128],0,0
219,db,i64x2.ge_s,[v128~v128] \to [v128],0,0
220,dc,i64x2.extmul_low_i32x4_s,[v128~v128] \to [v128],0,0
221,dd,i64x2.extmul_high_i32x4_s,[v128~v128] \to [v128],0,0
222,de,i64x2.extmul_low_i32x4_u,[v128~v128] \to [v128],0,0
223,df,i64x2.extmul_high_i32x4_u,[v128~v128] \to [v128],0,0
224,e0,f32x4.abs,[v128] \to [v128],0,0
225,e1,f32x4.neg,[v128] \to [v128],0,0
226,e2,undefined,undefined,undefined,undefined
227,e3,f32x4.sqrt,[v128] \to [v128],0,0
228,e4,f32x4.add,[v128~v128] \to [v128],0,0
229,e5,f32x4.sub,[v128~v128] \to [v128],0,0
230,e6,f32x4.mul,[v128~v128] \to [v128],0,0
231,e7,f32x4.div,[v128~v128] \to [v128],0,0
232,e8,f32x4.min,[v128~v128] \to [v128],0,0
233,e9,f32x4.max,[v128~v128] \to [v128],0,0
234,ea,f32x4.pmin,[v128~v128] \to [v128],0,0
235,eb,f32x4.pmax,[v128~v128] \to [v128],0,0
236,ec,f64x2.abs,[v128] \to [v128],0,0
237,ed,f64x2.neg,[v128] \to [v128],0,0
238,ee,undefined,undefined,undefined,undefined
239,ef,f64x2.sqrt,[v128] \to [v128],0,0
240,f0,f64x2.add,[v128~v128] \to [v128],0,0
241,f1,f64x2.sub,[v128~v128] \to [v128],0,0
242,f2,f64x2.mul,[v128~v128] \to [v128],0,0
243,f3,f64x2.div,[v128~v128] \to [v128],0,0
244,f4,f64x2.min,[v128~v128] \to [v128],0,0
245,f5,f64x2.max,[v128~v128] \to [v128],0,0
246,f6,f64x2.pmin,[v128~v128] \to [v128],0,0
247,f7,f64x2.pmax,[v128~v128] \to [v128],0,0
248,f8,i32x4.trunc_sat_f32x4_s,[v128] \to [v128],0,0
249,f9,i32x4.trunc_sat_f32x4_u,[v128] \to [v128],0,0
250,fa,f32x4.convert_i32x4_s,[v128] \to [v128],0,0
251,fb,f32x4.convert_i32x4_u,[v128] \to [v128],0,0
252,fc,i32x4.trunc_sat_f64x2_s_zero,[v128] \to [v128],0,0
253,fd,i32x4.trunc_sat_f64x2_u_zero,[v128] \to [v128],0,0
254,fe,f64x2.convert_low_i32x4_s,[v128] \to [v128],0,0
255,ff,f64x2.convert_low_i32x4_u,[v128] \to [v128],0,0
